Year,Dis Mag Value,Total Deaths,No Injured,No Affected,No Homeless,Total Affected
2013,48985,47,66,2127865,2070,2130001
2013,,4,,84250,,84250
2013,,3,,13860,,13860
2014,,20,,128182,,128182
2014,,,,259100,1250,260350
2014,,11,,,4000,4000
2014,,4,,3770,,3770
2014,,1,,42175,,42175
2014,35769,32,,20000,,20000
2014,,13,,275,,275
2014,,1,,10420,,10420
2014,,45,,472500,57950,530450
2014,,,,750,,750
2014,,,,4600,,4600
2014,,,,35400,,35400
2014,,17,,230000,,230000
2014,15356,,,99185,,99185
2014,31653,,,12000,,12000
2014,334449,10,,73260,,73260
2014,,4,,27140,,27140
2014,,15,8,18880,,18888
2015,,4,,95,45,140
2015,,7,,14000,,14000
2015,26424,149,,1621703,,1621703
2015,,1,,3000,,3000
2015,,23,,42500,,42500
2015,,9,,62929,,62929
2015,7002,,,8000,,8000
2015,,8,,122000,,122000
2015,,1,,8244,15,8259
2015,,,,300,,300
2015,,2,,25000,,25000
2015,,6,,,,
2015,,,,25750,,25750
2015,,,,47800,,47800
2015,,16,,,,
2015,,9,,880,,880
2015,16151,4,,3000,,3000
2015,24337,32,,15000,,15000
2015,192887,2,,100,,100
2015,,,,22000,,22000
2016,,5,,24000,,24000
2016,235819,8,,80313,,80313
2016,,6,,12500,,12500
2016,,,,30000,,30000
2016,93840,14,,377667,,377667
2016,,,,6000,,6000
2016,32276,53,,,8920,8920
2016,11225,2,,4500,,4500
2016,,10,,105000,,105000
2016,,,,105753,,105753
2016,,5,,19669,,19669
2016,,,,1354,,1354
2016,,5,,26328,,26328
2016,,5,,474560,,474560
2016,,,,441,,441
2016,20486,,,400,,400
2016,43580,,,25000,,25000
2016,,26,,1263098,,1263098
2016,,19,,1300000,,1300000
2016,,8,4,410,95,509
2016,,3,,22500,,22500
2016,17187,4,,204000,,204000
2016,67395,14,,582343,,582343
2016,63642,35,30,659390,195,659615
2016,44341,27,16,559255,2850,562121
2016,,21,,205205,1135,206340
2017,,7,11,25000,,25011
2017,,8,,17410,,17410
2017,27068,9,,12000,,12000
2017,,3,,92000,,92000
2017,,9,,1500000,,1500000
2017,,12,4,355,,359
2017,,2,,2280,,2280
2017,,4,,282345,75,282420
2017,40254,2,,400,,400
2017,,2,,13000,,13000
2017,78810,,,5481,,5481
2017,37944,7,,3500,,3500
2017,10300,,,8000,,8000
2017,30389,13,,334000,,334000
2017,,23,,1000000,,1000000
2017,,39,21,3000,1140,4161
2017,,1,4,4100,,4104
2017,,14,,400,,400
2017,,75,38,40000,,40038
2017,101670,9,,605000,,605000
2017,50020,96,,1800000,,1800000
2017,,22,,385498,,385498
2017,27646,8,,41500,,41500
2018,,35,,20000,,20000
2018,,13,,3000,,3000
2018,,3,1,12000,,12001
2018,,9,,5463,,5463
2018,,20,,100000,,100000
2018,,12,,,,
2018,,136,,13100,,13100
2018,,7,,63400,,63400
2018,3938,,,3000,,3000
2018,,,,5817,,5817
2018,46815,16,,109650,,109650
2018,74296,,,4900,,4900
2018,117492,2,,12000,,12000
2018,,11,,180000,,180000
2018,,33,18,16710,,16728
2018,,20,,6000,,6000
2018,,14,,105000,,105000
2019,,2,,2650,,2650
2019,,9,4,168393,,168397
2019,,18,2,13000,,13002
2019,,206,915,58625,,59540
2019,,2,,2258,,2258
2019,,1,,52000,,52000
2019,24987,66,110,501000,,501110
2019,,6,,60000,,60000
2019,,115,,,1875,1875
2019,,14,,5000,,5000
2019,,2,,55495,,55495
2019,,,,9435,,9435
2019,,12,,435000,,435000
2019,,19,,507500,,507500
2019,,,,6200,,6200
2019,,,,1000,,1000
2019,,,,2412,,2412
2019,38171,2,,15000,,15000
2019,,,,4065,,4065
2019,,27,,,500,500
2019,,3,,,265,265
2019,,3,5,26250,,26255
2019,5390,,,45000,,45000
2019,,19,,158000,,158000
2019,,12,5,61535,,61540
2019,,10,,36450,,36450
2020,,4,,100,,100
2020,,7,3,12000,,12003
2020,,2,2,1850,,1852
2020,,6,,115000,,115000
2020,,,,2000,,2000
2020,,7,,3805,,3805
2020,,105,51,14483,,14534
2020,,15,,10000,,10000
2020,,,,2000,,2000
2020,,10,,,,
2020,,,,25000,,25000
2020,,2,,40000,,40000
2020,,,,25000,,25000
2020,,4,,41837,,41837
2020,,,,23461,,23461
2020,,,,18200,,18200
2020,,,,10905,,10905
2020,,,,7213,,7213
2020,,10,,75000,,75000
2020,,9,22,2100,,2122
2020,,10,,112000,,112000
2020,,,,84609,,84609
2020,,1,,56488,,56488
2020,,2,,110000,,110000
2020,,,,1835,,1835
2020,,,,10000,,10000
2020,,5,,110000,,110000
2020,,,,9273,,9273
2020,,,,9000,,9000
2020,30344,,,1210,,1210
2020,,,,400,,400
2020,,1,,40000,,40000
2020,,1,,139000,,139000
2020,,5,1,2620,,2621
2020,,29,,691659,,691659
2020,,3,7,9124,,9131
