Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Tue, 29 Mar 2022 08:25:44 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Geo Locations,
2001-0485-KHM,2001,0485,,Natural,Hydrological,Flood,Riverine flood,,,Cambodia,KHM,South-Eastern Asia,Asia,"Stung Treng, Kratie, Kampong Cham provinces",Monsoonal rain,,,Yes,,,3822,3000,2001,8,15,2001,11,19,56,,1669182,,1669182,,,,,15000,22955,65.34555871,"Kampong Cham, Kratie, Stung Treng (Adm1).",
2001-0782-LAO,2001,0782,,Natural,Hydrological,Flood,,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"Khammouan, Savannakhet, Champasak, Attapu provinces",,,,Yes,,,,590,2001,8,,2001,8,,,,453000,,453000,,,,,,,65.34555871,"Attapu, Champasak, Khammouan, Savannakhet (Adm1).",
2001-0746-MMR,2001,0746,,Natural,Hydrological,Flood,Riverine flood,,,Myanmar,MMR,South-Eastern Asia,Asia,"Meikthila, Wundwin, Mahlaing areas (Meikthila district, Mandaly province)",,,,,,,,,2001,6,2,2001,6,2,51,,,3750,3750,,,,,,,65.34555871,Meikthila (Adm2).,
2001-0505-MYS,2001,0505,,Natural,Hydrological,Flood,Flash flood,,,Malaysia,MYS,South-Eastern Asia,Asia,"Teluk Ipil area (Seberang Perai Selatan district, Pulau Pinang province)",,,,,,,,,2001,8,19,2001,8,19,,,10000,,10000,,,,,,,65.34555871,Seberang Perai Selatan (Adm2).,
2001-0693-MYS,2001,0693,,Natural,Hydrological,Flood,Riverine flood,,,Malaysia,MYS,South-Eastern Asia,Asia,"Pahang, Kelantan, Terengganu provinces",Heavy rain,,,,,,,22940,2001,12,22,2002,1,3,11,,18000,,18000,,,,,,,65.34555871,"Kelantan, Pahang, Terengganu (Adm1).",
2002-0018-IDN,2002,0018,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Dempo Utara area (Kota Pagaralam district, Sumatra Selatan province)",Heavy rain,"Slide (land, mud, snow, rock)",,,,,,1490,2002,1,8,2002,1,12,21,,40,,40,,,,,,,66.3819637,Kota Pagaralam (Adm2).,
2002-0035-IDN,2002,0035,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Kota Medan district (Sumatera Utara province),Heavy rains,,,,,,,4170,2002,1,13,2002,1,18,13,,2000,,2000,,,,,,,66.3819637,Kota Medan (Adm2).,
2002-0054-IDN,2002,0054,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Alor, Belu districts (Nusatenggara Timur province), Bandung, Bogor, Kota Depok districts (Jawa Barat province), Barru district (Sulawesi Timur province), Bondowoso, Kota Mojokerto, Kota Surabaya, Mojokerto, Sampang, Sidoarjo, Lumajang districts (Jawa Timur province), Tangerang district (Banten province)",Heavy rains,,,,,,10284,41000,2002,1,27,2002,2,12,150,750,500000,,500750,,,200000,301287,350000,527252,66.3819637,"Dki Jakarta (Adm1). Alor, Bandung, Barru, Belu, Bogor, Bondowoso, Kota Depok, Kota Mojokerto, Kota Surabaya, Lumajang, Mojokerto, Sampang, Sidoarjo, Tangerang (Adm2).",
2002-0186-IDN,2002,0186,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Gomo, Amandraya areas (Nias Selatan district, Sumatera Utara province)",Heavy rain,,,,,,,942,2002,3,27,2002,3,30,14,,780,,780,,,,,,,66.3819637,Nias Selatan (Adm2).,
2002-0236-IDN,2002,0236,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Sumba Timur, Sumba Barat districts (Nusatenggara Timur province)",Heavy rain,,,,,,,4900,2002,4,17,2002,4,20,19,,,,,,,,,,,66.3819637,"Sumba Barat, Sumba Timur (Adm2).",
