Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Tue, 29 Mar 2022 08:25:44 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Geo Locations,
2011-0083-THA,2011,0083,,Natural,Hydrological,Flood,Flash flood,,,Thailand,THA,South-Eastern Asia,Asia,"Nakhon Si Thammarat, Phatthalung, Surat Thani, Trang, Chumphon, Songkhla, Krabi, Phangnga provinces",Heavy rains,"Slide (land, mud, snow, rock)",,Yes,,Yes,,33575,2011,3,23,2011,4,5,64,,716110,,716110,,,,,317000,381869,83.01267439,"Chumphon, Krabi, Nakhon Si Thammarat, Phangnga, Phatthalung, Songkhla, Surat Thani, Trang (Adm1).",
2011-0218-LAO,2011,0218,FL-2011-000077,Natural,Hydrological,Flood,Riverine flood,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"Xiangkhouang, Vientiane, Bolikhamxai, Khammouan, Xaignabouli provinces",Tropical storm Haima,,,,,,,36797,2011,6,23,2011,6,29,14,,37000,,37000,,,,,,,83.01267439,"Bolikhamxai, Khammouan, Vientiane, Xaignabouli, Xiangkhouang (Adm1).",
2011-0020-MYS,2011,0020,,Natural,Hydrological,Flood,Riverine flood,,,Malaysia,MYS,South-Eastern Asia,Asia,Johor province,Heavy rains,,,,,,,62167,2011,1,28,2011,1,31,2,,20000,,20000,,,,,,,83.01267439,Johor (Adm1).,
2011-0221-PHL,2011,0221,FL-2011-000067,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Davao City area (Davao Del Sur district, Region XI (Davao Region) province), Cotabato City area (Shariff Kabunsuan district, Autonomous region in Muslim Mindanao (ARMM) province), Metropolitan Manila district (National Capital region (NCR) province), Bulacan, Pampanga, Bataan, Tarlac, Zambales districts (Region III (Central Luzon) province), Batangas district (Region IV-A (Calabarzon) province), Albay district (Region V (Bicol) province), La Union, Pangasinan districts (Region I (Ilocos Region) province), Region X (Northern Mindanao), Region XII (Soccsksargen) provinces",Heavy rains,,,Yes,,,,6361,2011,6,28,2011,6,29,31,,121005,,121005,,,,,251,302,83.01267439,"Region X (Northern Mindanao), Region XII (Soccsksargen) (Adm1). Albay, Bataan, Batangas, Bulacan, Davao Del Sur, La Union, Metropolitan Manila, Pampanga, Pangasinan, Shariff Kabunsuan, Tarlac, Zambales (Adm2).",
2011-0044-PHL,2011,0044,,Natural,Hydrological,Flood,Riverine flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Sulu district (ARMM province), Surigao del Norte, Agusan del Norte, Surigao del Sur, Agusan del Sur districts (Region XIII province)",Torrential rain,,,,,,,44521,2011,2,1,2011,2,4,11,,2000,,2000,,,,,,,83.01267439,"Agusan Del Norte, Agusan Del Sur, Sulu, Surigao Del Norte, Surigao Del Sur (Adm2).",
2011-0575-IDN,2011,0575,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Paniai district (Papua province),Torrential rain,,,,,,,17351,2011,4,1,2011,4,10,18,,3000,,3000,,,,,,,83.01267439,Paniai (Adm2).,
2011-0603-IDN,2011,0603,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Tieng village (Wonosobo district, Jawa Tengah province)",,,,,,,,2457,2011,12,18,2011,12,22,10,,54,,54,,,,,,,83.01267439,Wonosobo (Adm2).,
2011-0645-IDN,2011,0645,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Paniai district (Papua province),Heavy rains,,,,,,,,2011,3,17,2011,3,31,13,,,3000,3000,,,,,,,83.01267439,Paniai (Adm2).,
2012-0582-IDN,2012,0582,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Kota Ambon district (Maluku province),,"Slide (land, mud, snow, rock)",,,,,,,2012,7,31,2012,7,31,8,,3770,,3770,,,,,,,84.7304789,Kota Ambon (Adm2).,
2012-0266-IDN,2012,0266,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Galala, Lateri, Passo, Laha, Tawiri, South Leitimur, Batu Gajah, Mangga Dua, Karang Panjang, Batu Merah, Kebun Cengkeh, Ahuru villages (Kota Ambon district, Maluku province)",,"Slide (land, mud, snow, rock)",,Yes,,,,,2012,7,24,2012,7,24,8,,625,,625,,,,,,,84.7304789,Kota Ambon (Adm2).,
2012-0539-IDN,2012,0539,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Solok Selatan district (Sumatra Barat province), Dompu district (Nusatenggara Barat province)",,"Slide (land, mud, snow, rock)",,,,,,,2012,12,24,2012,12,25,3,,10500,,10500,,,,,,,84.7304789,"Dompu, Solok Selatan (Adm2).",
2012-0378-IDN,2012,0378,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Pauh, Nanggalo, Lubeg, Kuranji areas (Kota Padang district, Sumatera Barat province)",,,,,,,,,2012,9,12,2012,9,12,,,1150,,1150,,,,,,,84.7304789,Kota Padang (Adm2).,
2012-0432-IDN,2012,0432,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Parigimoutong, Kota Palu districts (Sulawesi Tengah province)",,,,,,,,,2012,8,25,2012,8,25,4,5,1040,,1045,,,,,,,84.7304789,"Kota Palu, Parigimoutong (Adm2).",
2012-0426-IDN,2012,0426,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Serdang Bedagai, Nias districts (Sumatra Utara province), Mamasa district (Sulawesi Barat province)",Hevay rains,,,,,,,,2012,11,7,2012,11,9,13,,15210,,15210,,,,,,,84.7304789,"Mamasa, Nias, Serdang Bedagai (Adm2).",
2012-0575-IDN,2012,0575,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Kota Ternate district (Maluku Utara province),,,,,,,,,2012,5,9,2012,5,9,5,20,,1000,1020,,,,,,,84.7304789,Kota Ternate (Adm2).,
2013-0063-IDN,2013,0063,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Kota Manado, Kepulauan-sangihe districts (Sulawesi Utara province), Rokanhulu district (Riau province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,28874,2013,2,15,2013,2,22,17,,58040,,58040,,,,,2000,2326,85.97164225,"Kepulauan-sangihe, Kota Manado, Rokanhulu (Adm2).",
2013-0267-IDN,2013,0267,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Galala, Passo, Sirimau, Teluk Ambon, Leitimur Selatan areas (Kota Ambon district, Maluku province), Kedaton, Rajabassa, Sukabumi, Teluk Betung areas (Kota Bandarlampung district, Lampung province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,2013,7,28,2013,7,30,12,,8140,,8140,,,,,,,85.97164225,"Kota Ambon, Kota Bandarlampung (Adm2).",
2013-0007-IDN,2013,0007,FL-2013-000006,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Dki Jakarta province,Moonsonal rains,,,Yes,,,,1746,2013,1,17,2013,1,31,34,,248846,,248846,,,300000,348952,3000000,3489523,85.97164225,Dki Jakarta (Adm1).,
2013-0034-IDN,2013,0034,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Manggala, Biringkanaya, Panakkukang, Tamalanrea areas (Kota Makassar district, Sulawesi Selatan province), Pangkajene Kepulauan, Maros, Jeneponto, Barru, Gowa districts (Sulawesi Selatan province)",,,,,,,,67600,2013,1,3,2013,1,10,8,,1000,,1000,,,,,,,85.97164225,"Barru, Gowa, Jeneponto, Kota Makasar, Maros, Pangkajene Kepulauan (Adm2).",
2013-0126-IDN,2013,0126,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Blora district (Jawa Tengah province), Bojonegoro, Ngawi, Tuban, Lamongan, Gresik districts (Jawa Timur province)",,,,,,,,,2013,4,7,2013,4,11,11,,115000,,115000,,,,,,,85.97164225,"Blora, Bojonegoro, Gresik, Lamongan, Ngawi, Tuban (Adm2).",
2013-0364-IDN,2013,0364,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Penejam Paser Utara district (Kalimantan Timur province), Sekadau district (Kalimantan Barat province), Bonebolango district (Gorontalo province), Naganraya district (Nangroe Aceh Darussalam province)",Heavy rains,,,,,,,,2013,9,12,2013,9,12,,,23640,,23640,,,,,,,85.97164225,"Bonebolango, Naganraya, Penajam Paser Utara, Sekadau (Adm2).",
2013-0428-IDN,2013,0428,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Stabat, Batang Serangan, Secanggang, Wampu, Padang Tualang villages (Langkat district, Sumatera Utara province)",Torrential rain,,,,,,,31024,2013,10,7,2013,10,14,,,16000,,16000,,,,,,,85.97164225,Langkat (Adm2).,
2013-0541-IDN,2013,0541,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Kota Tebingtinggi district (Sumatera Utara province),Heavy rainfall,,,,,,,22525,2013,12,28,2013,12,30,,,22500,,22500,,,,,2000,2326,85.97164225,Kota Tebingtinggi (Adm2).,
2011-0324-LAO,2011,0324,FL-2011-000077,Natural,Hydrological,Flood,Flash flood,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"Savannakhet, Khammouan, Champasak provinces","Tropical storm Nock-Ten, Monsoonal rains","Slide (land, mud, snow, rock)",,,,,,,2011,8,1,2011,10,13,34,,430000,,430000,,,,,,,83.01267439,"Champasak, Khammouan, Savannakhet (Adm1).",
2011-0400-MMR,2011,0400,FL-2011-000167,Natural,Hydrological,Flood,Flash flood,,,Myanmar,MMR,South-Eastern Asia,Asia,"Saw area (Gangaw district, Magway province), Setoktara area (Minbu district, Magway province), Pakokku district (Magway province), Sagaing, Mandalay provinces",Tropical storm 2,"Slide (land, mud, snow, rock)",,,,,,,2011,10,19,2011,10,21,151,,35734,,35734,,,,,1700,2048,83.01267439,"Mandalay, Sagaing (Adm1). Gangaw, Minbu, Pakokku (Adm2).",
2011-0592-PHL,2011,0592,,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,Compostela district (Region XI province),,"Slide (land, mud, snow, rock)",,,,,,,2011,3,31,2011,3,31,2,,871,,871,,,,,,,83.01267439,Compostela (Adm2).,
2011-0468-PHL,2011,0468,,Natural,Hydrological,Flood,Riverine flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Cagayan, Isabela districts (Region II province), Aurora district (Region III province), Capiz, Aklan districts (Region VI province)",,"Slide (land, mud, snow, rock)",,,,,,,2011,11,14,2011,11,17,5,13,16178,,16191,,,,,183,220,83.01267439,"Aklan, Aurora, Cagayan, Capiz, Isabela (Adm2).",
2011-0326-THA,2011,0326,FL-2011-000135,Natural,Hydrological,Flood,Riverine flood,,,Thailand,THA,South-Eastern Asia,Asia,"Phrae, Mae Hong Son, Sukhothai, Chiang Mai, Tak, Nakhon Pathom, Roi Et, Phichit, Udon Thani, Sakon Nakhon, Uttaradit, Phitsanulok, Kampaeng Phet, Nakhon Sawan, Phetchabun, Nakhon Nayok, Phra Nakhon Si Ayudhya, Kalasin, Ubon Ratchathani, Uthai Thani, Chainat, Singburi, Ang Thong, Lopburi, Saraburi, Suphanburi, Pathum Thani, Nonthaburi, Khon Kaen, Si Saket, Surin, Chachoengsao, Phachinburi, Maha Sarakham, Samut Sakhon provinces","Monsoonal rains, tropical storms","Slide (land, mud, snow, rock)",,Yes,,Yes,,96785,2011,8,5,2012,1,4,813,,9500000,,9500000,,,10000000,12046353,40000000,48185413,83.01267439,"Ang Thong, Chachoengsao, Chainat, Chiang Mai, Kalasin, Kampaeng Phet, Khon Kaen, Lopburi, Mae Hong Son, Maha Sarakham, Nakhon Nayok, Nakhon Pathom, Nakhon Sawan, Nonthaburi, Pathum Thani, Phachinburi, Phetchabun, Phichit, Phitsanulok, Phra Nakhon Si Ayudhya, Phrae, Roi Et, Sakon Nakhon, Samut Sakhon, Saraburi, Si Saket, Singburi, Sukhothai, Suphanburi, Surin, Tak, Ubon Ratchathani, Udon Thani, Uthai Thani, Uttaradit (Adm1).",
2011-0364-KHM,2011,0364,,Natural,Hydrological,Flood,Riverine flood,,,Cambodia,KHM,South-Eastern Asia,Asia,"Kandal, Kampong Thom, Prey Veng, Kampong Cham, Kratie, Battambang, Kampong Chhnang, Preah Vihear, Pursat provinces","Heavy rains, tropical storm",,,Yes,,,,13466,2011,8,10,2011,11,1,247,23,1640000,,1640023,,,,,521000,627615,83.01267439,"Battambang, Kampong Cham, Kampong Chhnang, Kampong Thom, Kandal, Kratie, Preah Vihear, Prey Veng, Pursat (Adm1).",
2011-0367-PHL,2011,0367,,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Landan, Upper Klinan, Klinan 6, Maligo Barangays villages (Polomolok area, South Cotabato district, Region XII province)",,,,,,,,,2011,9,19,2011,9,19,,,274,,274,,,,,115,139,83.01267439,South Cotabato (Adm2).,
2011-0380-PHL,2011,0380,,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Bobuntogan village (Jasaan area, Misamis Oriental district, Region X province)",,,,,,,,,2011,10,7,2011,10,7,,,185,,185,,,,,,,83.01267439,Misamis Oriental (Adm2).,
2011-0469-PHL,2011,0469,,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Carmen, Braulio E. Dujali areas (Davao del Norte district, Region XI province)",Torrential rain,,,,,,,3076,2011,11,9,2011,11,14,,,8610,,8610,,,,,178881,215486,83.01267439,Davao del Norte (Adm2).,
2011-0562-PHL,2011,0562,,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Enrique B. Magalona, Victorias City areas (Negros Occidental district (Region VI province)",Continuous rain,,,,,,,,2011,5,5,2011,5,5,,,30858,,30858,,,,,,,83.01267439,Negros Occidental (Adm2).,
2011-0588-PHL,2011,0588,,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Zamboanga city (Zamboanga Del Sur district, Region IX province)",,,,,,,,,2011,7,20,2011,7,20,,,469,,469,,,,,,,83.01267439,Zamboanga Del Sur (Adm2).,
2011-0301-PHL,2011,0301,,Natural,Hydrological,Flood,Riverine flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Buntalala, Calubihan, Desamparados, Lanit boroughs (Jaro area, Iloilo City area, Iloilo district, Region VI province), Calajunan borough (Manduriao area, Iloilo City area, Iloilo district, Region VI province), Sooc borough (Arevalo area, Iloilo City area, Iloilo district, Region VI province)",Continuous rains,,,,,,,,2011,8,5,2011,8,5,,,2060,,2060,,,,,,,83.01267439,Iloilo (Adm2).,
2011-0540-PHL,2011,0540,,Natural,Hydrological,Flood,Riverine flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Catanduanes district (Region V (Bicol) province), Aklan, Capiz, Negros Occidental districts (Region VI (Western Visayas) province), Cebu district (Region VII (Central Visayas) province), Leyte, Southern Leyte districts (Region VIII (Eastern Visayas) province), Bukidnon district (Region X (Northern Mindanao) province), Compostela, Davao del Norte district (Region XI (Davao Region) province), Agusan del Sur, Dinagat, Surigao del Norte, Surigao del Sur districts (Region XIII (Caraga) province)",Low Pressure Area and Tail End of the Cold FRont,,,,,,,,2011,12,25,2011,12,28,12,9,171800,,171809,,,,,,,83.01267439,"Agusan Del Sur, Aklan, Bukidnon, Capiz, Catanduanes, Cebu, Compostela, Davao del Norte, Dinagat, Leyte, Negros Occidental, Southern Leyte, Surigao Del Norte, Surigao Del Sur (Adm2).",
2011-0542-PHL,2011,0542,,Natural,Hydrological,Flood,Riverine flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Casiguran, Dilasag areas (Aurora district, Region III), Isabela, Cagayan districts (Region II province)",Monsoonal rain,,,,,,,,2011,12,21,2011,12,21,10,,39520,,39520,,,,,,,83.01267439,"Aurora, Cagayan, Isabela (Adm2).",
2012-0504-KHM,2012,0504,,Natural,Hydrological,Flood,Flash flood,,,Cambodia,KHM,South-Eastern Asia,Asia,Banteay Meanchey province,Monsoonal rains,,,,,,,,2012,9,17,2012,9,26,14,,71500,,71500,,,,,,,84.7304789,Banteay Meanchey (Adm1).,
2012-0319-MMR,2012,0319,,Natural,Hydrological,Flood,Riverine flood,,,Myanmar,MMR,South-Eastern Asia,Asia,"Kawkareik, Kya-in-Seikkyi, Hpa-an areas (Kawkareik district, Kayin province)",Monsoonal rains,,,,,,,219814,2012,7,15,2012,8,29,2,,85000,,85000,,,,,,,84.7304789,Kawkareik (Adm2).,
2012-0171-PHL,2012,0171,,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Kalamansig area (Sultan Kudarat district, Region XII province)",,,,,,,,,2012,6,11,2012,6,11,,,12300,,12300,,,,,,,84.7304789,Sultan Kudarat (Adm2).,
2012-0172-PHL,2012,0172,,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Glen area (Saranggani district, Region XII province), Maguindanao district (ARMM province), North Cotabato, Sultan Kudarat districts (Region XII province)",Heavy rains,,,,,,,23516,2012,6,9,2012,6,12,1,,700,,700,,,,,,,84.7304789,"Maguindanao, North Cotabato, Saranggani, Sultan Kudarat (Adm2).",
2012-0009-PHL,2012,0009,,Natural,Hydrological,Flood,Riverine flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Agusan del Sur, Surigao del Sur districts (Region XIII province), Leyte district (Region VIII province), Compostela, Davao del Norte districts (Region XI province), Negros Occidental district (Region VI province), Region IV province",Tail-end of a cold front,,,,,,,,2012,1,17,2012,1,17,4,,88570,,88570,,,,,,,84.7304789,"Region IV (Southern Tagalog) (Adm1). Agusan Del Sur, Compostela, Davao del Norte, Leyte, Negros Occidental, Surigao Del Sur (Adm2).",
2012-0042-PHL,2012,0042,,Natural,Hydrological,Flood,Riverine flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Jabonga area (Agusan del Norte district, Region XIII province), Kauswagan and Bacolod areas (Lanao del Norte district, Region X province)",Effects of low pressure area,,,,,,,,2012,2,14,2012,2,16,,,569,,569,,,,,,,84.7304789,"Agusan Del Norte, Lanao Del Norte (Adm2).",
2012-0078-PHL,2012,0078,,Natural,Hydrological,Flood,Riverine flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Lambayong area (Sultan Kudarat district, Region XII province), Agusan del Norte, Surigao del Norte districts (Region XIII province)",Torrential rain,,,,,,,39825,2012,2,20,2012,2,27,,,25000,,25000,,,,,,,84.7304789,"Agusan Del Norte, Sultan Kudarat, Surigao Del Norte (Adm2).",
2012-0272-PHL,2012,0272,,Natural,Hydrological,Flood,Riverine flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Metropolitan Manila district (National Capital region (NCR) province), Ilocos Sur, La Union, Pangasinan districts (Region I (Ilocos Region) province), Bataan, Bulacan, Nueva Ecija, Pampanga, Tarlac, Zambales districts (Region III (Central Luzon) province), Batangas, Cavite, Laguna, Rizal districts (Region IV-A (Calabarzon) province), Mindoro Occidental, Mindoro Oriental districts (Region IV (Southern Tagalog) province), Iloilo district (Region VI (Western Visayas) province)",Monsoonal rain enhnaced by Typhoon Haikui and Saola,,,Yes,,Yes,,,2012,8,6,2012,8,8,112,14,4451711,,4451725,,,3000,3541,72330,85365,84.7304789,"Bataan, Batangas, Bulacan, Cavite, Ilocos Sur, Iloilo, La Union, Laguna, Metropolitan Manila, Mindoro Occidental, Mindoro Oriental, Nueva Ecija, Pampanga, Pangasinan, Rizal, Tarlac, Zambales (Adm2).",
2012-0396-PHL,2012,0396,,Natural,Hydrological,Flood,Riverine flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,Region VI (Western Visayas) province,,,,,,,,,2012,3,27,2012,3,27,11,,,4835,4835,,,,,2000,2360,84.7304789,Region VI (Western Visayas) (Adm1).,
2012-0602-PHL,2012,0602,,Natural,Hydrological,Flood,Riverine flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Region XIII (Caraga), Autonomous region in Muslim Mindanao (ARMM), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen) provinces",Heavy rains,,,,,,,,2012,6,12,2012,6,13,29,2,,30927,30929,,,,,1000,1180,84.7304789,"Autonomous region in Muslim Mindanao (ARMM), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) (Adm1).",
2012-0375-THA,2012,0375,,Natural,Hydrological,Flood,Riverine flood,,,Thailand,THA,South-Eastern Asia,Asia,"Tak, Sukhothai, Phitsanulok, Phichit, Chainat, Ang Thong, Phra Nakhon Si Ayudhya, Suphanburi, Phachinburi, Sa Kaeo, Nakhon Pathom, Chonburi, Rayong, Chachoengsao, Chaiyaphum provinces",Monsoonal rains,,,,,Yes,,44011,2012,8,15,2012,9,30,,,235545,,235545,,,,,,,84.7304789,"Ang Thong, Chachoengsao, Chainat, Chaiyaphum, Chonburi, Nakhon Pathom, Phachinburi, Phichit, Phitsanulok, Phra Nakhon Si Ayudhya, Rayong, Sa Kaeo, Sukhothai, Suphanburi, Tak (Adm1).",
2013-0019-PHL,2013,0019,,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,Region X (Northen Mindanao) province,,"Slide (land, mud, snow, rock)",,,,,,,2013,1,15,2013,1,23,10,,507769,,507769,,,,,2800,3257,85.97164225,Region X (Northern Mindanao) (Adm1).,
2013-0274-PHL,2013,0274,,Natural,Hydrological,Flood,Riverine flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Region III (Central Luzon) province (Pampanga district (Lubao, Floridablanca, Minalin areas), Bulacan district (Meycauayan area), Nueva Ecija district (Mariveles, Bataan, Malolos City, Carranglan areas), Zambales district (Olongapo area), Tarlac, Bataan districts), Region IV-A (Calabarzon) province (Rizal district (Teresa, Binangonan areas), Cavite district (Imus, Bacoor, Kawit, Noveleta, Tanza areas), Quezon district (Sariaya area), Laguna district), Region IV province (Mindoro Occidental district), National Capital region (NCR) province (Metropolitan Manila district (Las Pinas, Caloocan, Valenzuela, Navotas, Malabon areas)), Region I (Ilocos region) province (Pagasinan district), Cordillera Administrative region (CAR) province (Mountain Province district (Bontoc, Sagada areas), Benguet district (Tuba area), Abra district)","Monsoonal rain (HABAGAT), enhanced by Tropical Storm Maring (Trami)","Slide (land, mud, snow, rock)",,Yes,,Yes,,50412,2013,8,13,2013,8,21,31,30,3096392,,3096422,,,100000,116317,2190000,2547352,85.97164225,"Abra, Bataan, Benguet, Bulacan, Cavite, Laguna, Metropolitan Manila, Mindoro Occidental, Mountain Province, Nueva Ecija, Pampanga, Pangasinan, Quezon, Rizal, Tarlac, Zambales (Adm2).",
2013-0340-PHL,2013,0340,,Natural,Hydrological,Flood,Riverine flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Region XIII (Caraga), Autonomous region in Muslim Mindanao (ARMM), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen) provinces",Heavy rainfall,"Slide (land, mud, snow, rock)",,,,,,,2013,8,1,2013,8,9,11,21,100000,,100021,,,,,36000,41874,85.97164225,"Autonomous region in Muslim Mindanao (ARMM), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) (Adm1).",
2013-0434-PHL,2013,0434,,Natural,Hydrological,Flood,Riverine flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Palawan district (Region IV province), ARMM, Region VI, Region VII, Region, VIII, Region IX, Region X, Region XI, Region XII, Region XIII provinces","Continuous showers and thuderstorms, Effect of Continuous Rain and Thunderstorms Due to Intertropical Convergence Zone",Lightening,,,,Yes,,,2013,10,4,2013,10,10,20,,207971,,207971,,,,,1988,2312,85.97164225,"Autonomous region in Muslim Mindanao (ARMM), Region IX (Zamboanga Peninsula), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) (Adm1). Palawan (Adm2).",
2013-0380-KHM,2013,0380,,Natural,Hydrological,Flood,Riverine flood,,,Cambodia,KHM,South-Eastern Asia,Asia,"Battambang, Banteay Meanchey, Kampong Cham, Prey Veng, Kandal, Siem Reap, Kratie, Kampong Thom, Otdar Meanchey, Stung Treng, Pursat, Kampong Chhnang, Ratanak Kiri, Preah Vihear, Svay Rieng, Phnom Penh, Takeo, Pailin, Kampot provinces",Monsoonal rains and Typhoon Usagi,,,,,,,52283,2013,9,24,2013,10,14,200,,1500000,,1500000,,,,,500000,581587,85.97164225,"Banteay Meanchey, Battambang, Kampong Cham, Kampong Chhnang, Kampong Thom, Kampot, Kandal, Kratie, Otdar Meanchey, Pailin, Phnom Penh, Preah Vihear, Prey Veng, Pursat, Ratanak Kiri, Siem Reap, Stung Treng, Svay Rieng, Takeo (Adm1).",
2013-0338-LAO,2013,0338,FL-2013-000101,Natural,Hydrological,Flood,Riverine flood,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"Xay, Beng districts (Oudomxai province), Khop, Xienghone, Ngeun, Xayabury districts (Xaignabouli province), Bolikhanh, Paksane, Pakkading, Thaphabath districts (Bolikhamxai province), Nakai, Mahaxay, Nongbok, Xebangfay, Hinboon districts (Khammuan province), Pek, Kham, Thathom districts (Xiangkhouang province), Kasy, Feuang, Mad, Hom districts (Vientiane province)",Persitent rains,,,,,,,,2013,6,,2013,8,,20,77,350000,,350077,,,,,60000,69790,85.97164225,"Beng, Bolikhanh, Feuang, Hinboon, Hom, Kasy, Kham, Khop, Mad, Mahaxay, Nakai, Ngeun, Nongbok, Pakkading, Paksane, Pek, Thaphabath, Thathom, Xay, Xayabury, Xebangfay, Xienghone (Adm2).",
