Year,Disaster Type,Disaster Subtype,Country,ISO,No Injured,No Affected,No Homeless,Total Affected,Total Damages,"Total Damages, Adjusted",CPI
2017,Flood,,Thailand,THA,,1000000,,1000000,307000,339376,90.46017931
2011,Flood,Flash flood,Thailand,THA,,716110,,716110,317000,381869,83.01267439
2010,Flood,Riverine flood,Thailand,THA,,8970653,,8970653,332000,412564,80.47228515
2002,Flood,Riverine flood,Indonesia,IDN,750,500000,,500750,350000,527252,66.3819637
2007,Flood,Coastal flood,Viet Nam,VNM,,150000,,150000,350000,457405,76.5186792
2007,Flood,Riverine flood,Malaysia,MYS,,,29000,29000,363000,474394,76.5186792
2008,Flood,Riverine flood,Viet Nam,VNM,,600000,,600000,479000,602847,79.4563044
2013,Flood,Riverine flood,Thailand,THA,,3500000,,3500000,482000,560650,85.97164225
2013,Flood,Riverine flood,Cambodia,KHM,,1500000,,1500000,500000,581587,85.97164225
2011,Flood,Riverine flood,Cambodia,KHM,23,1640000,,1640023,521000,627615,83.01267439
2021,Flood,,Thailand,THA,,298900,,298900,591000,591000,100
2014,Flood,Riverine flood,Indonesia,IDN,,20000,,20000,600000,686764,87.36629784
2007,Flood,Riverine flood,Malaysia,MYS,,137533,,137533,605000,790657,76.5186792
2007,Flood,Riverine flood,Indonesia,IDN,1,217086,,217087,971000,1268971,76.5186792
2017,Flood,Riverine flood,Thailand,THA,,1800000,,1800000,1000000,1105459,90.46017931
2019,Flood,Flash flood,Indonesia,IDN,110,501000,,501110,1200000,1271872,94.3490925
2021,Flood,Flash flood,Malaysia,MYS,,120000,,120000,1460000,1460000,100
2013,Flood,Riverine flood,Philippines (the),PHL,30,3096392,,3096422,2190000,2547352,85.97164225
2013,Flood,Riverine flood,Indonesia,IDN,,248846,,248846,3000000,3489523,85.97164225
2011,Flood,Riverine flood,Thailand,THA,,9500000,,9500000,40000000,48185413,83.01267439
